
"mut1_1":{"Rd": 0.026047012217658816, "Rg": 0.018476599700140667, "Rb": 0.09850142510334038, "Ra": 0.24358747248432905, "a0s": 0.0005524769567894348, "gms": 0.032455285793528334, "hmin": 0.011037494439864442, "mmin": 0.015777883669113545, "qinf": 5.703211218716879, "q10": 1.9983962311960874, "qg": 0.4506373089646469, "qd": 0.5138143381752618, "qa1": 3.5457314123382493, "smax": 7.108761465885894, "sh": 8.268798743403226, "thinf": -48.12586052007154, "thi2": -58.59063166932049, "thi1": -72.51795074188115, "tha": -35.44254315160272, "vvs": 0.8326409327766104, "vvh": -57.74036000372857, "vhalfs": -32.67273829445852, "zetas": 4.647118606764953},
"mut3_4":{"Rd": 0.025404882126363104, "Rg": 0.01807731439909028, "Rb": 0.050570361976409704, "Ra": 0.2990751672017955, "a0s": 0.0001082470073362398, "gms": 0.04956267906601699, "hmin": 0.0033603271574825753, "mmin": 0.006701046715263309, "qinf": 5.685194181627634, "q10": 2.2991590143392955, "qg": 0.3411437709062518, "qd": 0.43134673252922145, "qa1": 6.467785262091882, "smax": 3.0701604028409366, "sh": 8.786116466925977, "thinf": -48.19195174388496, "thi2": -60.98368823994882, "thi1": -55.31016272414436, "tha": -29.144388871869506, "vvs": 0.05806470517436127, "vvh": -51.30530560106263, "vhalfs": -42.070156919915476, "zetas": 11.881892044758068},
"mut4_1":{"Rd": 0.026384861854339865, "Rg": 0.017216037795361894, "Rb": 0.12837300795550013, "Ra": 0.25353061607003063, "a0s": 4.2410228689384536e-05, "gms": 0.047598201971333035, "hmin": 2.5314573787947516e-05, "mmin": 0.011678299094720596, "qinf": 8.03840395078539, "q10": 1.188898296218245, "qg": 2.2313686936471093, "qd": 0.9923076877510596, "qa1": 5.143730738736812, "smax": 0.4338639279533929, "sh": 8.302556502447649, "thinf": -61.98296501231657, "thi2": -79.46450173305057, "thi1": -58.46806411651639, "tha": -33.91750100895857, "vvs": 0.15841285406530475, "vvh": -50.028601292256695, "vhalfs": -58.097564586146376, "zetas": 9.72559058008965},
"mut4_2":{"Rd": 0.023682486529747304, "Rg": 0.019364569675837273, "Rb": 0.06639445755196602, "Ra": 0.2532039181202634, "a0s": 0.0005117682653354634, "gms": 0.16436629200804187, "hmin": 0.008895278726382575, "mmin": 0.01498171446996888, "qinf": 6.928866724696512, "q10": 1.8563049996988092, "qg": 0.6087191902860564, "qd": 0.8444321548477873, "qa1": 4.49777403854998, "smax": 11.468339430843177, "sh": 7.9255819997576635, "thinf": -53.73944860308653, "thi2": -78.99476488033166, "thi1": -60.61175386462758, "tha": -32.305266703802594, "vvs": 1.3376766587186115, "vvh": -50.44918327707576, "vhalfs": -11.844665595688921, "zetas": 10.157586005046321},
"mut4_3":{"Rd": 0.026534951813365324, "Rg": 0.01880169739564451, "Rb": 0.17197607962537637, "Ra": 0.24479283812162655, "a0s": 0.0004213583667850791, "gms": 0.2380886721713047, "hmin": 0.008166571894882575, "mmin": 0.009663756546644867, "qinf": 5.009955809736812, "q10": 1.810739465603194, "qg": 0.05767589832731146, "qd": 0.8383381598445618, "qa1": 5.348567613594099, "smax": 13.608636435288986, "sh": 9.086159548833471, "thinf": -41.407430414787825, "thi2": -36.239466831709386, "thi1": -51.86531865179576, "tha": -34.484266795766665, "vvs": 0.8244969898054099, "vvh": -49.76311113733832, "vhalfs": -37.4306413223391, "zetas": 12.95006265778077},
"mut4_4":{"Rd": 0.029509118068486603, "Rg": 0.01430606886926348, "Rb": 0.1796032902657718, "Ra": 0.24583229562329614, "a0s": 0.0003427568658862245, "gms": 0.2772518560592253, "hmin": 0.01851091221773331, "mmin": 0.028651410248571475, "qinf": 3.743607767208064, "q10": 2.9010546860041515, "qg": 0.372945233741037, "qd": 0.71899879205399, "qa1": 5.1723464429217465, "smax": 1.0866882968480547, "sh": 8.542447988943875, "thinf": -35.71635574415294, "thi2": -79.98554375222227, "thi1": -47.99557164078066, "tha": -32.99546101270985, "vvs": 0.03165165186313315, "vvh": -60.33287200544115, "vhalfs": -28.681203127444558, "zetas": 14.635290983811052},
"mut5_1":{"Rd": 0.02701119998697379, "Rg": 0.007554313646539795, "Rb": 0.08216524515733808, "Ra": 0.2643532759351036, "a0s": 0.0005791118316328197, "gms": 0.09569139098075205, "hmin": 0.017441209515602008, "mmin": 0.004079127084017231, "qinf": 5.982753017834614, "q10": 2.3603433059614267, "qg": 0.14060902415157334, "qd": 0.46055169561574194, "qa1": 5.037269076531583, "smax": 2.3498017637203565, "sh": 8.238211223086939, "thinf": -48.555764886778405, "thi2": -63.39786268469176, "thi1": -53.127136979567126, "tha": -31.5348318373408, "vvs": 1.6060786711953108, "vvh": -46.2496450815056, "vhalfs": -24.38275864219653, "zetas": 12.061354057836986},
"mut5_2":{"Rd": 0.024099283532945864, "Rg": 0.017583697354344716, "Rb": 0.10373183010152592, "Ra": 0.22652447463153436, "a0s": 0.0004990826734574562, "gms": 0.11823773635172939, "hmin": 0.01390743040880614, "mmin": 0.0036606094304718374, "qinf": 5.835606664662725, "q10": 2.2353734180224523, "qg": 1.0366340336768565, "qd": 0.5618624753047958, "qa1": 4.691898873772695, "smax": 2.1802923692990097, "sh": 8.657605677232198, "thinf": -47.62991303180279, "thi2": -78.49335010452293, "thi1": -59.368805568553846, "tha": -34.22146065050052, "vvs": 0.017447769498914023, "vvh": -48.75974258317825, "vhalfs": -27.441696653845405, "zetas": 13.53270255526033},
"mut5_3":{"Rd": 0.024002463356996972, "Rg": 0.01899583310300501, "Rb": 0.11558682832893928, "Ra": 0.24594742113961007, "a0s": 0.0003980998585412338, "gms": 0.07385059647142797, "hmin": 0.002370317143968269, "mmin": 0.00038581081425028904, "qinf": 6.088769354858897, "q10": 2.3347981826817135, "qg": 1.5901112115667582, "qd": 0.753841504155426, "qa1": 4.7160969489808435, "smax": 4.807659128552935, "sh": 8.853423907562162, "thinf": -47.72412825560719, "thi2": -55.09737320786358, "thi1": -59.89350855435276, "tha": -34.4392676782676, "vvs": 0.10315039523947883, "vvh": -53.8217560426071, "vhalfs": -40.48652139039861, "zetas": 11.594601823841135},
"mut5_4":{"Rd": 0.024720112917881055, "Rg": 0.018541343511408848, "Rb": 0.11259456304121376, "Ra": 0.24712131121970332, "a0s": 0.0004972541639862278, "gms": 0.14061659320270067, "hmin": 0.015502759721939445, "mmin": 0.0026758513976433617, "qinf": 6.203090285648935, "q10": 1.8105567164212135, "qg": 0.0026131733274903646, "qd": 0.6180282819328444, "qa1": 5.116746587458819, "smax": 7.324766525525432, "sh": 8.884798383997602, "thinf": -48.126302165543045, "thi2": -23.46761130680343, "thi1": -57.36559608546103, "tha": -33.76958313917315, "vvs": 1.222203774598586, "vvh": -32.45341504947651, "vhalfs": -30.027983577593623, "zetas": 7.295584046622534},
"mut10_1":{"Rd": 0.02651246785099783, "Rg": 0.019960904206663202, "Rb": 0.13262596710031876, "Ra": 0.31697972132517616, "a0s": 0.00018827767627998607, "gms": 0.07492898371136576, "hmin": 0.018929626426990653, "mmin": 0.016760825663100318, "qinf": 5.692953418725518, "q10": 2.612820084405906, "qg": 1.0815462255178543, "qd": 0.8238866422556227, "qa1": 4.229900122329475, "smax": 5.925501090198631, "sh": 8.839404835874905, "thinf": -48.00704037156025, "thi2": -51.5340343966448, "thi1": -73.8256011660641, "tha": -35.31387920279738, "vvs": 1.0255581528200128, "vvh": -55.43921367645018, "vhalfs": -33.73187173736085, "zetas": 11.730581846004023},
"mut10_2":{"Rd": 0.025148997743855893, "Rg": 0.019038286903579917, "Rb": 0.07622284938872735, "Ra": 0.23941914131321346, "a0s": 7.582161654849643e-05, "gms": 0.050950401745399325, "hmin": 0.010616565737682177, "mmin": 0.016186006784990506, "qinf": 5.754475871576276, "q10": 1.2102136882608387, "qg": 0.31001752651347014, "qd": 0.8824775453175153, "qa1": 4.6990894514191845, "smax": 4.544339705665868, "sh": 7.893428678439982, "thinf": -47.93640112561764, "thi2": -60.08578483255323, "thi1": -54.519603941030496, "tha": -32.20428195951664, "vvs": 0.0036570475145545345, "vvh": -49.519300650876964, "vhalfs": -26.445539343203052, "zetas": 13.57549991951983},
"mut10_3":{"Rd": 0.016238158972931495, "Rg": 0.011135614761927124, "Rb": 0.09158298315242039, "Ra": 0.1414330463921319, "a0s": 0.0004817512375482864, "gms": 0.03140885051008234, "hmin": 0.014319883588028704, "mmin": 0.0054048054144712875, "qinf": 5.9730829382626895, "q10": 1.0081549709247193, "qg": 1.9485530150883612, "qd": 0.9857978840787726, "qa1": 6.244610205328588, "smax": 2.8694514515893315, "sh": 9.629093187416869, "thinf": -47.704710831873136, "thi2": -52.092927921268895, "thi1": -49.94644419289258, "tha": -35.15593055331494, "vvs": 1.4629221588918504, "vvh": -46.02244438941218, "vhalfs": -25.634766290495847, "zetas": 10.375252401730933},
"mut10_4":{"Rd": 0.01858079909038906, "Rg": 0.018811071398256874, "Rb": 0.043943494391129066, "Ra": 0.1464054123184759, "a0s": 3.767494373900175e-05, "gms": 0.08960805760329832, "hmin": 0.008599567520185323, "mmin": 0.009364808131340507, "qinf": 6.046621403814068, "q10": 1.9630320224338162, "qg": 0.5153972027865985, "qd": 0.2896116020578223, "qa1": 6.370524546891967, "smax": 3.0514982093913803, "sh": 8.06619225686357, "thinf": -47.70290807827395, "thi2": -17.35245114997459, "thi1": -37.55292816592032, "tha": -28.71087046887072, "vvs": 2.6691779979508716, "vvh": -52.41899200534546, "vhalfs": -16.09650183687404, "zetas": 8.431642580804796},
"mut11_1":{"Rd": 0.021929866885543, "Rg": 0.015225876305737015, "Rb": 0.09759187614832969, "Ra": 0.23405701433153947, "a0s": 0.0004604892270863501, "gms": 0.06507411358004211, "hmin": 0.00886848006499387, "mmin": 0.016605440920353595, "qinf": 5.719914317304104, "q10": 2.1864558748681064, "qg": 0.1926265692071678, "qd": 0.6287936778156653, "qa1": 4.442029863492213, "smax": 14.689423212980335, "sh": 8.527792101653944, "thinf": -47.80592994307777, "thi2": -75.55295725421921, "thi1": -65.97926761059908, "tha": -34.4805504066182, "vvs": 1.1663238306718284, "vvh": -54.44229708205085, "vhalfs": -11.280763484010594, "zetas": 12.309507456080434},
"mut11_2":{"Rd": 0.02353495407686298, "Rg": 0.019833445830282573, "Rb": 0.08629166023003751, "Ra": 0.2425151396623956, "a0s": 0.00046729755097230086, "gms": 0.14501435018329703, "hmin": 0.011993982351440377, "mmin": 0.016343315988702967, "qinf": 5.720979458043772, "q10": 1.9845070781098693, "qg": 1.4357432600683948, "qd": 0.32921334641666183, "qa1": 4.538735237432434, "smax": 6.254478832684133, "sh": 8.36657600999808, "thinf": -47.77033469573195, "thi2": -78.25390642753463, "thi1": -61.523822513454604, "tha": -33.59370566796033, "vvs": 1.6921723206586663, "vvh": -56.42105481340581, "vhalfs": -42.56341924555999, "zetas": 9.806056170121728},
"mut11_3":{"Rd": 0.026031057333501598, "Rg": 0.013817949527467009, "Rb": 0.057952037035911425, "Ra": 0.2578991767838837, "a0s": 0.0003032779275028184, "gms": 0.13480098585396702, "hmin": 0.00453663547891017, "mmin": 0.026784198344088916, "qinf": 5.702821553905835, "q10": 2.214087354317054, "qg": 1.5634651722067892, "qd": 0.7390455449929515, "qa1": 4.118803518477039, "smax": 3.6681435193342007, "sh": 6.953578706904016, "thinf": -47.6814568042062, "thi2": -57.161742890253365, "thi1": -54.28881586084026, "tha": -30.848509424010917, "vvs": 1.6098548279327884, "vvh": -48.01295327743644, "vhalfs": -28.07878706954573, "zetas": 6.93872494247041},
"mut11_4":{"Rd": 0.02360200699924793, "Rg": 0.01999907320542239, "Rb": 0.09058035149391436, "Ra": 0.22716764079760526, "a0s": 0.0005278819197847953, "gms": 0.18125519971963827, "hmin": 0.01100384308977558, "mmin": 0.021247880402847866, "qinf": 5.700440811634072, "q10": 2.51866856578731, "qg": 0.4230906788886478, "qd": 0.5819874496152675, "qa1": 4.352008450976868, "smax": 6.819425780714818, "sh": 9.180810401294101, "thinf": -47.67061194673693, "thi2": -27.908463253405575, "thi1": -60.73119650938386, "tha": -34.93530208180842, "vvs": 0.27563377409254064, "vvh": -46.67695185814337, "vhalfs": -14.874106944547437, "zetas": 12.944975432810946},
"mut12_1":{"Rd": 0.027959432104195478, "Rg": 0.01747339281367236, "Rb": 0.07314771019108289, "Ra": 0.270884495347087, "a0s": 0.00033701939530379836, "gms": 0.14374208977239653, "hmin": 0.00268824989364514, "mmin": 0.01940788505000924, "qinf": 5.794451382123442, "q10": 1.1284365833511232, "qg": 0.07196607679234812, "qd": 0.8567818873259789, "qa1": 4.360898191538854, "smax": 5.457436696105334, "sh": 9.018823150099552, "thinf": -48.01149027824375, "thi2": -69.77717244833983, "thi1": -56.440278325390665, "tha": -33.31786293946685, "vvs": 0.6804909900331801, "vvh": -46.67746427633612, "vhalfs": -11.79134909816035, "zetas": 9.671291456162313},
"mut12_2":{"Rd": 0.024960360998484764, "Rg": 0.01459806798243318, "Rb": 0.0965308116834002, "Ra": 0.2476236762645026, "a0s": 0.0003970265495369906, "gms": 0.26908192205699105, "hmin": 0.007002949283398527, "mmin": 0.0020126504372082544, "qinf": 5.86212977573515, "q10": 1.7693069963235182, "qg": 0.42566376175974086, "qd": 0.9348269309637147, "qa1": 4.706547613275087, "smax": 0.3616111229538904, "sh": 6.354998108202179, "thinf": -47.80635799237096, "thi2": -75.10834997946692, "thi1": -58.49643913016675, "tha": -31.395524686881505, "vvs": 0.10626923677921263, "vvh": -56.40100376489494, "vhalfs": -35.1625290212924, "zetas": 4.551755258930188},
"mut12_3":{"Rd": 0.025865328977864616, "Rg": 0.01717656999787636, "Rb": 0.09138198458434318, "Ra": 0.24226850051330223, "a0s": 7.447219563913707e-06, "gms": 0.2509840296668697, "hmin": 0.014895887171197417, "mmin": 0.013019199823609646, "qinf": 5.9415490073459605, "q10": 2.9078178415770912, "qg": 1.5001201181216812, "qd": 0.8732070577446075, "qa1": 4.69430490421596, "smax": 10.588052073819421, "sh": 6.996482926016626, "thinf": -48.045720370651125, "thi2": -69.19614472115914, "thi1": -55.33440183206611, "tha": -31.716011904495094, "vvs": 0.10445927859958029, "vvh": -51.24507714355363, "vhalfs": -11.81638421851683, "zetas": 6.441705936359468},
"mut12_4":{"Rd": 0.026341829109144867, "Rg": 0.01595747635837312, "Rb": 0.11385415617192195, "Ra": 0.25294958624382163, "a0s": 0.0003569150129602803, "gms": 0.12283361477301487, "hmin": 0.01203624127992991, "mmin": 0.027434699923145837, "qinf": 6.02052583745145, "q10": 2.224591292047369, "qg": 1.7257806606927213, "qd": 0.793295971364335, "qa1": 5.364623777926906, "smax": 2.684965115586759, "sh": 7.787220023721729, "thinf": -47.97568300997233, "thi2": -71.68791038210352, "thi1": -56.632696149747105, "tha": -32.8884899922085, "vvs": 0.13072318176479514, "vvh": -44.478187791313346, "vhalfs": -14.23682084873365, "zetas": 13.207234994555186},
