
"mut1_1":{"Rd": 0.02152708049554059, "Rg": 0.01971846432161931, "Rb": 0.06850060521140405, "Ra": 0.0932694736999882, "a0s": 0.0003978085706237909, "gms": 0.19063845559403503, "hmin": 0.008643773153866309, "mmin": 0.010452214480119546, "qinf": 5.143932708476134, "q10": 2.778419024845597, "qg": 1.065193145307569, "qd": 0.47457144823184205, "qa1": 2.814398685191536, "smax": 8.713942852886412, "sh": 5.520689080696744, "thinf": -48.13536128311153, "thi2": -71.81963702111825, "thi1": -66.19895009188373, "tha": -35.997531895282286, "vvs": 0.038923497137310026, "vvh": -49.95831203790889, "vhalfs": -71.48067582090218, "zetas": 3.0757564239715096},
"mut3_4":{"Rd": 0.026691158659360857, "Rg": 0.01899247551470875, "Rb": 0.028979267515010995, "Ra": 0.3385888218711262, "a0s": 0.0003300254358347356, "gms": 0.10126937389706889, "hmin": 0.005841406206031088, "mmin": 7.238959602485964e-05, "qinf": 5.281283610300465, "q10": 1.7946063324062553, "qg": 1.6361191558098798, "qd": 0.5865470081072655, "qa1": 6.939200775672483, "smax": 10.412125968701615, "sh": 9.099911918747356, "thinf": -48.72450015263381, "thi2": -50.1126862588625, "thi1": -51.8085271544101, "tha": -25.23827582801502, "vvs": 0.10772120165929988, "vvh": -52.48277012596768, "vhalfs": -34.422197123558256, "zetas": 13.727292282753194},
"mut4_1":{"Rd": 0.026263930745728196, "Rg": 0.01912634489488424, "Rb": 0.10702633412467048, "Ra": 0.25353061607003063, "a0s": 5.9463481927211316e-05, "gms": 0.08766582685803671, "hmin": 0.0015506354245965967, "mmin": 0.015489169051047075, "qinf": 7.949415480650863, "q10": 1.2531712753038369, "qg": 2.1825028483362248, "qd": 0.9358171393137541, "qa1": 4.800877938780825, "smax": 0.4338639279533929, "sh": 8.849804961976389, "thinf": -61.53628931745392, "thi2": -77.38713245459999, "thi1": -58.46806411651639, "tha": -34.36657830352344, "vvs": 0.1181993736330394, "vvh": -51.35684087338653, "vhalfs": -44.91680129811451, "zetas": 12.536216694523782},
"mut4_2":{"Rd": 0.02501251123159261, "Rg": 0.01617212257732504, "Rb": 0.0596244013487565, "Ra": 0.24597983231373627, "a0s": 0.0004430985356135228, "gms": 0.14123232229115967, "hmin": 0.008775048654109047, "mmin": 0.010916564663476165, "qinf": 6.696132794898681, "q10": 2.131752934412636, "qg": 0.794462219389799, "qd": 0.8884653399769559, "qa1": 3.7428226638399553, "smax": 11.307941996260677, "sh": 7.134765099345919, "thinf": -53.720142232675954, "thi2": -75.27334449466632, "thi1": -58.698824191886274, "tha": -32.305266703802594, "vvs": 1.870593322929619, "vvh": -51.51051415266182, "vhalfs": -12.66123147522818, "zetas": 10.815104388794591},
"mut4_3":{"Rd": 0.026534951813365324, "Rg": 0.01880169739564451, "Rb": 0.17197607962537637, "Ra": 0.24479283812162655, "a0s": 0.0004213583667850791, "gms": 0.2380886721713047, "hmin": 0.008166571894882575, "mmin": 0.009663756546644867, "qinf": 5.009955809736812, "q10": 1.810739465603194, "qg": 0.05767589832731146, "qd": 0.8383381598445618, "qa1": 5.348567613594099, "smax": 13.608636435288986, "sh": 9.086159548833471, "thinf": -41.407430414787825, "thi2": -36.239466831709386, "thi1": -51.86531865179576, "tha": -34.484266795766665, "vvs": 0.8244969898054099, "vvh": -49.76311113733832, "vhalfs": -37.4306413223391, "zetas": 12.95006265778077},
"mut4_4":{"Rd": 0.029509118068486603, "Rg": 0.01430606886926348, "Rb": 0.1796032902657718, "Ra": 0.24583229562329614, "a0s": 0.0003427568658862245, "gms": 0.2772518560592253, "hmin": 0.01851091221773331, "mmin": 0.028651410248571475, "qinf": 3.743607767208064, "q10": 2.9010546860041515, "qg": 0.372945233741037, "qd": 0.71899879205399, "qa1": 5.1723464429217465, "smax": 1.0866882968480547, "sh": 8.542447988943875, "thinf": -35.71635574415294, "thi2": -79.98554375222227, "thi1": -47.99557164078066, "tha": -32.99546101270985, "vvs": 0.03165165186313315, "vvh": -60.33287200544115, "vhalfs": -28.681203127444558, "zetas": 14.635290983811052},
"mut5_1":{"Rd": 0.02701119998697379, "Rg": 0.007554313646539795, "Rb": 0.08216524515733808, "Ra": 0.2643532759351036, "a0s": 0.0005791118316328197, "gms": 0.09569139098075205, "hmin": 0.017441209515602008, "mmin": 0.004079127084017231, "qinf": 5.982753017834614, "q10": 2.3603433059614267, "qg": 0.14060902415157334, "qd": 0.46055169561574194, "qa1": 5.037269076531583, "smax": 2.3498017637203565, "sh": 8.238211223086939, "thinf": -48.555764886778405, "thi2": -63.39786268469176, "thi1": -53.127136979567126, "tha": -31.5348318373408, "vvs": 1.6060786711953108, "vvh": -46.2496450815056, "vhalfs": -24.38275864219653, "zetas": 12.061354057836986},
"mut5_2":{"Rd": 0.024099283532945864, "Rg": 0.017583697354344716, "Rb": 0.10373183010152592, "Ra": 0.22652447463153436, "a0s": 0.0004990826734574562, "gms": 0.11823773635172939, "hmin": 0.01390743040880614, "mmin": 0.0036606094304718374, "qinf": 5.835606664662725, "q10": 2.2353734180224523, "qg": 1.0366340336768565, "qd": 0.5618624753047958, "qa1": 4.691898873772695, "smax": 2.1802923692990097, "sh": 8.657605677232198, "thinf": -47.62991303180279, "thi2": -78.49335010452293, "thi1": -59.368805568553846, "tha": -34.22146065050052, "vvs": 0.017447769498914023, "vvh": -48.75974258317825, "vhalfs": -27.441696653845405, "zetas": 13.53270255526033},
"mut5_3":{"Rd": 0.024002463356996972, "Rg": 0.01899583310300501, "Rb": 0.11558682832893928, "Ra": 0.24594742113961007, "a0s": 0.0003980998585412338, "gms": 0.07385059647142797, "hmin": 0.002370317143968269, "mmin": 0.00038581081425028904, "qinf": 6.088769354858897, "q10": 2.3347981826817135, "qg": 1.5901112115667582, "qd": 0.753841504155426, "qa1": 4.7160969489808435, "smax": 4.807659128552935, "sh": 8.853423907562162, "thinf": -47.72412825560719, "thi2": -55.09737320786358, "thi1": -59.89350855435276, "tha": -34.4392676782676, "vvs": 0.10315039523947883, "vvh": -53.8217560426071, "vhalfs": -40.48652139039861, "zetas": 11.594601823841135},
"mut5_4":{"Rd": 0.024720112917881055, "Rg": 0.018541343511408848, "Rb": 0.11259456304121376, "Ra": 0.24712131121970332, "a0s": 0.0004972541639862278, "gms": 0.14061659320270067, "hmin": 0.015502759721939445, "mmin": 0.0026758513976433617, "qinf": 6.203090285648935, "q10": 1.8105567164212135, "qg": 0.0026131733274903646, "qd": 0.6180282819328444, "qa1": 5.116746587458819, "smax": 7.324766525525432, "sh": 8.884798383997602, "thinf": -48.126302165543045, "thi2": -23.46761130680343, "thi1": -57.36559608546103, "tha": -33.76958313917315, "vvs": 1.222203774598586, "vvh": -32.45341504947651, "vhalfs": -30.027983577593623, "zetas": 7.295584046622534},
"mut10_1":{"Rd": 0.027395728264448305, "Rg": 0.019480744967267646, "Rb": 0.13764175491228756, "Ra": 0.3249271716724938, "a0s": 0.0003108982883780263, "gms": 0.07492898371136576, "hmin": 0.018575871305948823, "mmin": 0.018826485307131623, "qinf": 5.694358259122065, "q10": 2.7529370746620305, "qg": 0.36482273291978423, "qd": 0.9929256455655058, "qa1": 4.212896480253771, "smax": 1.0915477358638386, "sh": 8.839404835874905, "thinf": -48.00704037156025, "thi2": -50.59206400067486, "thi1": -73.8256011660641, "tha": -35.31387920279738, "vvs": 1.0447778994280894, "vvh": -60.42500565507859, "vhalfs": -20.50066108952194, "zetas": 13.413655031086758},
"mut10_2":{"Rd": 0.025148997743855893, "Rg": 0.019038286903579917, "Rb": 0.07622284938872735, "Ra": 0.23941914131321346, "a0s": 7.582161654849643e-05, "gms": 0.050950401745399325, "hmin": 0.010616565737682177, "mmin": 0.016186006784990506, "qinf": 5.754475871576276, "q10": 1.2102136882608387, "qg": 0.31001752651347014, "qd": 0.8824775453175153, "qa1": 4.6990894514191845, "smax": 4.544339705665868, "sh": 7.893428678439982, "thinf": -47.93640112561764, "thi2": -60.08578483255323, "thi1": -54.519603941030496, "tha": -32.20428195951664, "vvs": 0.0036570475145545345, "vvh": -49.519300650876964, "vhalfs": -26.445539343203052, "zetas": 13.57549991951983},
"mut10_3":{"Rd": 0.013543192650622997, "Rg": 0.011241853345483834, "Rb": 0.13771316792530303, "Ra": 0.12749287162606474, "a0s": 0.0003957228843670599, "gms": 0.028712887485634223, "hmin": 0.008255040762169867, "mmin": 0.00798665510653186, "qinf": 5.988004612157979, "q10": 1.0049020841733858, "qg": 1.952495662179155, "qd": 0.8445610842404554, "qa1": 6.193403534276686, "smax": 2.076557084007565, "sh": 9.759025272727365, "thinf": -47.704710831873136, "thi2": -54.68362678375665, "thi1": -61.50903000694661, "tha": -38.39336245950481, "vvs": 1.4542121865982145, "vvh": -52.26817611428988, "vhalfs": -13.68935134826082, "zetas": 7.055423269413636},
"mut10_4":{"Rd": 0.019128451806580085, "Rg": 0.018811071398256874, "Rb": 0.05286426454631773, "Ra": 0.13862617491942542, "a0s": 0.0001052436168258151, "gms": 0.04351999736642875, "hmin": 0.008599567520185323, "mmin": 0.009364808131340507, "qinf": 6.221025615291252, "q10": 2.1281611120423802, "qg": 0.5153972027865985, "qd": 0.20744972992248667, "qa1": 6.132014251353705, "smax": 1.3537102656642905, "sh": 8.06619225686357, "thinf": -47.70290807827395, "thi2": -33.857462339664195, "thi1": -33.89828989262652, "tha": -28.71087046887072, "vvs": 1.3392504515168708, "vvh": -55.815014550067964, "vhalfs": -11.675127513999922, "zetas": 13.235419549496429},
"mut11_1":{"Rd": 0.021929866885543, "Rg": 0.018723576187703667, "Rb": 0.1051634230963236, "Ra": 0.23508697797789002, "a0s": 0.0005835875884775554, "gms": 0.12261598252888799, "hmin": 0.008584525472804423, "mmin": 0.016794012207597908, "qinf": 5.722576718343788, "q10": 2.4482475200318388, "qg": 0.19776870137035674, "qd": 0.4622295421304615, "qa1": 4.4939515650583095, "smax": 14.132603013775045, "sh": 8.527792101653944, "thinf": -47.805136398210095, "thi2": -78.02053162066912, "thi1": -65.97926761059908, "tha": -34.62943705547238, "vvs": 0.5664978270026372, "vvh": -59.17033133627328, "vhalfs": -13.413722849719543, "zetas": 11.918967430219416},
"mut11_2":{"Rd": 0.023312880700076446, "Rg": 0.01858174134932093, "Rb": 0.07935782975971542, "Ra": 0.23521647379465366, "a0s": 0.0003436265973699111, "gms": 0.17614060374442847, "hmin": 0.01744943488604197, "mmin": 0.01769709300881356, "qinf": 5.731495537825661, "q10": 2.0457053727323675, "qg": 2.0466383898343654, "qd": 0.6225010854717319, "qa1": 4.353681958762282, "smax": 5.817921674997042, "sh": 8.52497386363533, "thinf": -47.75027867600394, "thi2": -78.34600885961478, "thi1": -61.24639472021875, "tha": -33.722961634530705, "vvs": 2.2401498962441706, "vvh": -58.8909977282838, "vhalfs": -39.41628141666363, "zetas": 6.161406286895087},
"mut11_3":{"Rd": 0.026907838352397174, "Rg": 0.016317015410364254, "Rb": 0.09137863576835731, "Ra": 0.2587788233876734, "a0s": 0.00021141949969412618, "gms": 0.11396783032493213, "hmin": 0.01425844177568436, "mmin": 0.025820565195160607, "qinf": 6.2617633025161945, "q10": 2.33153379528982, "qg": 0.32702159680536924, "qd": 0.7719509535788031, "qa1": 5.241901178817519, "smax": 3.56489519370383, "sh": 9.34253795196477, "thinf": -48.39816813601031, "thi2": -76.68017048156996, "thi1": -55.43104743774339, "tha": -33.55268605046953, "vvs": 2.237067993942403, "vvh": -46.46130979713421, "vhalfs": -42.281944952975266, "zetas": 9.305829256929199},
"mut11_4":{"Rd": 0.02470084568727651, "Rg": 0.018557587959261095, "Rb": 0.0732998317397988, "Ra": 0.25068048918206937, "a0s": 0.0004783354384210532, "gms": 0.11005113358800184, "hmin": 0.007377190577551476, "mmin": 0.02418085187466044, "qinf": 5.978814501528545, "q10": 1.573952007685258, "qg": 0.4289479481538425, "qd": 0.45850976226258155, "qa1": 4.6339075395334195, "smax": 6.884703882146217, "sh": 8.393651712746694, "thinf": -47.66992970571995, "thi2": -29.342117872582318, "thi1": -59.409436623118765, "tha": -32.847525667420754, "vvs": 0.2798441137013877, "vvh": -50.11601384242573, "vhalfs": -34.00520385393543, "zetas": 12.985414175379482},
"mut12_1":{"Rd": 0.027959432104195478, "Rg": 0.01747339281367236, "Rb": 0.07314771019108289, "Ra": 0.270884495347087, "a0s": 0.00033701939530379836, "gms": 0.14374208977239653, "hmin": 0.00268824989364514, "mmin": 0.01940788505000924, "qinf": 5.794451382123442, "q10": 1.1284365833511232, "qg": 0.07196607679234812, "qd": 0.8567818873259789, "qa1": 4.360898191538854, "smax": 5.457436696105334, "sh": 9.018823150099552, "thinf": -48.01149027824375, "thi2": -69.77717244833983, "thi1": -56.440278325390665, "tha": -33.31786293946685, "vvs": 0.6804909900331801, "vvh": -46.67746427633612, "vhalfs": -11.79134909816035, "zetas": 9.671291456162313},
"mut12_2":{"Rd": 0.024960360998484764, "Rg": 0.01459806798243318, "Rb": 0.0965308116834002, "Ra": 0.2476236762645026, "a0s": 0.0003970265495369906, "gms": 0.26908192205699105, "hmin": 0.007002949283398527, "mmin": 0.0020126504372082544, "qinf": 5.86212977573515, "q10": 1.7693069963235182, "qg": 0.42566376175974086, "qd": 0.9348269309637147, "qa1": 4.706547613275087, "smax": 0.3616111229538904, "sh": 6.354998108202179, "thinf": -47.80635799237096, "thi2": -75.10834997946692, "thi1": -58.49643913016675, "tha": -31.395524686881505, "vvs": 0.10626923677921263, "vvh": -56.40100376489494, "vhalfs": -35.1625290212924, "zetas": 4.551755258930188},
"mut12_3":{"Rd": 0.025865328977864616, "Rg": 0.01717656999787636, "Rb": 0.09138198458434318, "Ra": 0.24226850051330223, "a0s": 7.447219563913707e-06, "gms": 0.2509840296668697, "hmin": 0.014895887171197417, "mmin": 0.013019199823609646, "qinf": 5.9415490073459605, "q10": 2.9078178415770912, "qg": 1.5001201181216812, "qd": 0.8732070577446075, "qa1": 4.69430490421596, "smax": 10.588052073819421, "sh": 6.996482926016626, "thinf": -48.045720370651125, "thi2": -69.19614472115914, "thi1": -55.33440183206611, "tha": -31.716011904495094, "vvs": 0.10445927859958029, "vvh": -51.24507714355363, "vhalfs": -11.81638421851683, "zetas": 6.441705936359468},
"mut12_4":{"Rd": 0.026341829109144867, "Rg": 0.01595747635837312, "Rb": 0.11385415617192195, "Ra": 0.25294958624382163, "a0s": 0.0003569150129602803, "gms": 0.12283361477301487, "hmin": 0.01203624127992991, "mmin": 0.027434699923145837, "qinf": 6.02052583745145, "q10": 2.224591292047369, "qg": 1.7257806606927213, "qd": 0.793295971364335, "qa1": 5.364623777926906, "smax": 2.684965115586759, "sh": 7.787220023721729, "thinf": -47.97568300997233, "thi2": -71.68791038210352, "thi1": -56.632696149747105, "tha": -32.8884899922085, "vvs": 0.13072318176479514, "vvh": -44.478187791313346, "vhalfs": -14.23682084873365, "zetas": 13.207234994555186},
